state,percentage_sunshine,total_sunshine_hours
Alabama,58,2641
Alaska,41,2061
Arizona,85,3806
Arkansas,61,2771
California,68,3055
Colorado,71,3204
Connecticut,56,2585
Delaware,53,2403
Florida,66,2927
Georgia,66,2986
Hawaii,71,3125
Idaho,64,2993
Illinois,56,2567
Indiana,55,2440
Iowa,59,2691
Kansas,65,2922
Kentucky,56,2514
Louisiana,57,2649
Maine,57,2513
Maryland,57,2582
Massachusetts,58,2634
Michigan,51,2392
Minnesota,58,2711
Mississippi,61,2720
Missouri,60,2690
Montana,59,2698
Nebraska,61,2762
Nevada,79,3646
New Hampshire,54,2519
New Jersey,56,2499
New Mexico,76,3415
New York,46,2120
North Carolina,60,2651
North Dakota,59,2738
Ohio,50,2183
Oklahoma,68,3089
Oregon,48,2341
Pennsylvania,58,2614
Rhode Island,58,2606
South Carolina,64,2826
South Dakota,63,2947
Tennessee,56,2510
Texas,61,2850
Utah,66,3029
Vermont,49,2295
Virginia,63,2829
Washington,47,2170
West Virginia,43,2373
Wisconsin,54,2428
Wyoming,68,3073
